"Baggage","Baggage"
"BoxCar","Boxcar"
"Box","Boxcar"
"Box Car","Boxcar"
"Box Car - 50 Double Door","Boxcar"
"Express Box Car","Boxcar"
"Express Boxcar","Boxcar"
"ExpressBoxCar","Boxcar"
"ExpressBox Car","Boxcar"
"Caboose","Caboose"
"Coal","Coal"
"Coil Car","Coilcar"
"Coilcar","Coilcar"
"FlatBHPaper","FlatBHPaper"
"FlatBHPp","FlatBHPaper"
"Flat Bulkhead Paper","FlatBHPaper"
"Flat BH Paper","FlatBHPaper"
"FlatBHWood","FlatBHWood"
"FlatBHWd","FlatBHWood"
"Flat Bulk Head Wood","FlatBHWood"
"Flat BulkHead Wood","FlatBHWood"
"FlatBulkHead","FlatBulkHead"
"Flat Bulk Head","FlatBulkHead"
"FlatBH","FlatBulkHead"
"Flat Bulkhead","FlatBulkHead"
"FlatTimber","FlatTimber"
"FlatTimb","FlatTimber"
"Flat Timber","FlatTimber"
"Flat Trailer","FlatTrailer"
"FlatTrailer","FlatTrailer"
"Flat Wood","FlatWood"
"Flatwood","FlatWood"
"FlatWd","FlatWood"
"Flat Car","Flatcar"
"Flatcar","Flatcar"
"Flat","Flatcar"
"Flat-car","Flatcar"
"Flat Depressed","Flatcar"
"FlatDepressed","Flatcar"
"Gon-scrap","Gon-scrap"
"Gondola Scrap","Gon-scrap"
"GondolaScrap","Gon-scrap"
"GonScrap","Gon-scrap"
"Gondola Pipe","Gon-pipe"
"Gondola-Pipe","Gon-pipe"
"GonPipe","Gon-pipe"
"Gon","Gondola"
"Gondola","Gondola"
"HopChem","HopChem"
"HopperChem","HopChem"
"Hop Chem","HopChem"
"Hopper Chemical","HopChem"
"Chemical Hopper","HopChem"
"HopCmnt","HopCmnt"
"HopperCmnt","HopCmnt"
"Hop Cement","HopCmnt"
"Hopper Cement","HopCmnt"
"Cement Hopper","HopCmnt"
"HopperCoal","HopCoal"
"Hopper Coal","HopCoal"
"HopCoal","HopCoal"
"Coal Hopper","HopCoal"
"HopCoal-Ety","HopCoal-Ety"
"Hooper Coal-Ety","HopCoal-Ety"
"HopperCoal-E","HopCoal-Ety"
"HopCoal-E","HopCoal-Ety"
"HopperCoal-E","HopCoal-Ety"
"HopGrain","HopGrain"
"Hopper Grain","HopGrain"
"HopperGrain","HopGrain"
"Grain Hopper","HopGrain"
"Hopper Sand","HopSand"
"HopSand","HopSand"
"HopperSand","HopSand"
"Sand Hopper","HopSand"
"Hop","Hopper"
"Hopper","Hopper"
"Covered Hopper","Hopper"
"Hopper 2 bay","Hopper"
"Open Hopper","Hopper"
"MOW","MOW"
"Maintenace of Way","MOW"
"Maintenace-of-Way","MOW"
"Maint of Way","MOW"
"Maint-of-Way","MOW"
"MOW Box","MOWBox"
"MOWBox","MOWBox"
"Maintenace of Way Boxcar","MOWBox"
"Maintenace-of-Way Boxcar","MOWBox"
"Maint of Way Boxcar","MOWBox"
"Maint-of-Way Boxcar","MOWBox"
"Passenger","Passenger"
"Cabin","Passenger"
"Cabin REA","Passenger"
"Reef Mech","ReefMech"
"ReefMech","ReefMech"
"ReeferMech","ReefMech"
"Reefer Mech","ReefMech"
"Reefer","Reefer"
"Reefer Meat","Reefer"
"Reefer Milk","Reefer"
"ReeferMeat","Reefer"
"ReeferMilk","Reefer"
"ExpressReefer","Reefer"
"Express Refeer","Reefer"
"Reefer Ice","ReeferIce"
"ReeferIce","ReeferIce"
"ReeferMeat","ReeferMeat"
"Reefer Meat","ReeferMeat"
"Reefer-Meat","ReeferMeat"
"ReeferMilk","ReeferMilk"
"Reefer Milk","ReeferMilk"
"Reefer-Milk","ReeferMilk"
"Stock","Stock"
"Stock Car","Stock"
"Steam","Steam"
"StockCar","StockCar"
"Stock Car","StockCar"
"Engine - Shifter","Engine - Shifter"
"EngineShifter","Engine - Shifter"
"Tank Food","Tank Food"
"TankFood","Tank Food"
"Tanker Food","Tank Food"
"TankerFood","Tank Food"
"Tank Gas","Tank Gas"
"Tank Diesel","Tank Gas"
"TankGas","Tank Gas"
"TankDiesel","Tank Gas"
"Tanker Gas","Tank Gas"
"Tanker Diesel","Tank Gas"
"TankerGas","Tank Gas"
"TankerDiesel","Tank Gas"
"Tank Kero","Tank Kero"
"Tank Corn Sy","Tank Kero"
"TankerCornSyrup","Tank Kero"
"Tanker Corn Syrup","Tank Kero"
"TankKero","Tank Kero"
"TankerKero","Tank Kero"
"Tank Oil","Tank Oil"
"Tan Oil","Tank Oil"
"TankerOil","Tank Oil"
"Tanker Oil","Tank Oil"
"Tanker","Tank Veg"
"TankVeg","Tank Veg"
"Tanker Veg","Tank Veg"
"Tank Veg","Tank Veg"
"Tang Veg","Tank Veg"
"TankerVeg","Tank Veg"
"Tank Chem","Tank Chem"
"TankChem","Tank Chem"
"Tanker Chem","Tank Chem"
"TankerChem","Tank Chem"
"Tanker Chemical","Tank Chem"
"TankerChemical","Tank Chem"
"Tanker","Tanker"
"Tan","Tanker"
"Tank","Tanker"
