Class,Country,Time,Link,Road Name,Road Short Name
1,USA,pre–1956,https://en.wikipedia.org/wiki/Alton_Railroad,Alton Railroad,A/C&A
1,USA,pre–1956,https://en.wikipedia.org/wiki/Atlantic_and_Danville_Railway,Atlantic and Danville Railway,A&D
1,USA,pre–1956,https://en.wikipedia.org/wiki/Arizona_and_New_Mexico_Railway,Arizona and New Mexico Railway,A&NM
1,USA,pre–1956,https://en.wikipedia.org/wiki/St._Lawrence_and_Atlantic_Railroad,St. Lawrence and Atlantic Railroad,A&STL
1,USA,pre–1956,https://en.wikipedia.org/wiki/Alabama_and_Vicksburg_Railway,Alabama and Vicksburg Railway,A&V
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Atlanta_and_West_Point_Railroad,Atlanta and West Point Railroad,A&WP
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Ann_Arbor_Railroad_(1895%E2%80%931976),Ann Arbor Railroad,AA
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Atlanta,_Birmingham_and_Atlantic_Railway","Atlanta, Birmingham and Atlantic Railway",AB&A
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Atlanta,_Birmingham_and_Coast_Railroad","Atlanta, Birmingham and Coast Railroad",AB&C
1,USA,pre–1956,https://en.wikipedia.org/wiki/Atlantic_City_Railroad,Atlantic City Railroad,AC
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Akron,_Canton_and_Youngstown_Railroad","Akron, Canton and Youngstown Railroad",AC&Y
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Atlantic_Coast_Line_Railroad,Atlantic Coast Line Railroad,ACL
,USA,,http://www.adirondackrr.com/,Adirondack Scenic Railroad,ADCX
,USA,,,Archer Daniels Midland Transportation Company aka ADM,ADMX
1,USA,pre–1956,https://en.wikipedia.org/wiki/Arizona_Eastern_Railroad,Arizona Eastern Railroad,AE
,,,,General Electric Rail Services Corporation,AESX
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Alabama_Great_Southern_Railroad,Alabama Great Southern Railroad,AGS
,,,,Alton Railroad,ALTON
1,USA,Current,https://en.wikipedia.org/wiki/Amtrak,Amtrak,AMTK
2,USA,1956-present,https://en.wikipedia.org/wiki/Aberdeen_and_Rockfish_Railroad,Aberdeen and Rockfish Railroad,AR
2,USA,Current,https://en.wikipedia.org/wiki/Alaska_Railroad,Alaska Railroad,ARR
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Atlanta_and_St._Andrews_Bay_Railroad,Atlanta and St. Andrews Bay Railroad,ASAB
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Alabama,_Tennessee_and_Northern_Railroad","Alabama, Tennessee and Northern Railroad",AT&N
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Atchison,_Topeka_and_Santa_Fe_Railway","Atchison, Topeka and Santa Fe Railway",AT&SF
,,,,Alliance Terminal Railroad,ATR
,,,,"Atchison, Topeka and Santa Fe Railway",ATSF
,,,,Atlantic and Western Railway,ATW
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Auto-Train_Corporation,Auto-Train Corporation,AUT
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Bangor_and_Aroostook_Railroad,Bangor and Aroostook Railroad,B&AR
1,USA,pre–1956,https://en.wikipedia.org/wiki/Kennecott_Utah_Copper_rail_line,Bingham and Garfield Railway/Kennecott Utah Copper rail line,B&G
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Boston_and_Maine_Corporation,Boston and Maine Corporation,B&M
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Baltimore_and_Ohio_Railroad,Baltimore & Ohio Railroad,B&O
1,USA,pre–1956,https://en.wikipedia.org/wiki/Buffalo_and_Susquehanna_Railroad,Buffalo and Susquehanna Railroad,B&S
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Butte,_Anaconda_and_Pacific_Railway","Butte, Anaconda and Pacific Railway",BA&P
,,,,Bangor and Aroostook Railroad,BAR
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Baltimore,_Chesapeake_and_Atlantic_Railway","Baltimore, Chesapeake and Atlantic Railway",BC&A
,,,,Buffalo Creek,BCK
2,USA,1956-present,https://en.wikipedia.org/wiki/Bullfrog_Goldfield_Railroad,Bullfrog Goldfield Railroad,BG
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Bessemer_and_Lake_Erie_Railroad,Bessemer and Lake Erie Railroad,BLE
,,,,Boston and Maine Corporation,BM
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Burlington_Northern_Railroad,Burlington Northern Railroad,BN
1,USA,Current,https://en.wikipedia.org/wiki/BNSF_Railway,Burlington Northern and Santa Fe,BNSF
2,USA,1956-present,https://en.wikipedia.org/wiki/Baltimore_and_Ohio_Chicago_Terminal_Railroad,Baltimore and Ohio Chicago Terminal Railroad,BOCT
2,USA,Current,https://en.wikipedia.org/wiki/Buffalo_and_Pittsburgh_Railroad,Buffalo and Pittsburgh Railroad,BPRR
,,,,British Railways,BR
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Buffalo,_Rochester_and_Pittsburgh_Railway","Buffalo, Rochester and Pittsburgh Railway",BR&P
,,,,,BR&S
,,,,Big Rivers Electric Corporation,BREX
1,USA,pre–1956,https://en.wikipedia.org/wiki/Burlington-Rock_Island_Railroad,Burlington-Rock Island Railroad,BRI
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Beaumont,_Sour_Lake_and_Western_Railway","Beaumont, Sour Lake and Western Railway",BSL&W
,,,,Borg-Warner Chemicals,BWCX
1,USA,pre–1956,https://en.wikipedia.org/wiki/Coal_and_Coke_Railway,Coal and Coke Railway,C&C
1,USA,pre–1956,https://en.wikipedia.org/wiki/Chicago_and_Atlantic_Railway,Chicago and Atlantic Railway,C&E
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Chicago_and_Eastern_Illinois_Railroad,Chicago and Eastern Illinois Railroad,C&EI
1,USA,pre–1956,https://en.wikipedia.org/wiki/Columbus_and_Greenville_Railway,Columbus and Greenville Railway,C&G/SOUMS
1,USA,pre–1956,https://en.wikipedia.org/wiki/Cambria_and_Indiana_Railroad,Cambria and Indiana Railroad,C&I
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Illinois_and_Midland_Railroad,Illinois and Midland Railroad,C&IM
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Chicago_and_North_Western_Transportation_Company,Chicago and North Western Transportation Company,C&NW
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Chesapeake_and_Ohio_Railway,Chesapeake & Ohio Railway,C&O
1,USA,pre–1956,https://en.wikipedia.org/wiki/Chesapeake_and_Ohio_Railway_of_Indiana,Chesapeake and Ohio Railway of Indiana,C&OIN
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Colorado_and_Southern_Railway,Colorado and Southern Railway,C&S
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Colorado_and_Wyoming_Railway,Colorado and Wyoming Railway,C&W
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Charleston_and_Western_Carolina_Railway,Charleston and Western Carolina Railway,C&WC
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Cleveland,_Akron_and_Columbus_Railway","Cleveland, Akron and Columbus Railway",CA&C
,,,,,CACX
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Carolina_and_Northwestern_Railway,Carolina and Northwestern Railway,CAR&NW
